id карточки,id связи с точкой (поле id в выгрузке),id точки,Координаты точки,Кадастровый номер ОКСа,Наименование ОКСа,Площадь ОКСа,Адрес ОКСа из ГКН,Иной найденный адрес,Комментарий,Инвентарный номер БТИ,Иные сведения ОКС,Кадастровый номер ЗУ,ВРИ,Площадь ЗУ,Адрес ЗУ из ГКН,Район/округ,Поселение,Населенный пункт,Эл# план стр#,Улица,Номер здания,Адрес ФИАС,Полнота исходного адреса,Почтовый индекс,Номер заявки в РЛДД,Дата заявки,Дата передачи в ОМС для внесения а,ОКТМО,Код ФИАС,Код КЛАДР,ОКАТО,Статус,Объект отмечен на отправку,Объект адресации в ФИАС,Признак принадлежности объекта,"Дата документа, на основании котор","Номер документа, на основании кото",Объект отправлен,Результат получен,Дата отправки,Дата получения результата,Статус техпроцесса Адресации,Дата создания карточки,ФИО пользователя создавшего карточку,Дата последней версии строки,Тип последнего изменения,Дата отчета Желтые,Дата отчета Синие,Дата отчета Зеленые,Для загрузки в РГИС,Stamp,Ошибка,Автор изменения строки
668968828,668968828,563348965,POINT(37.6749023354423 55.559395174578),50:21:0030215:810,"Жилое строение без права регистрации проживания, расположенное на садовом земельном участке",126.1,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, СНТ ""Ветеран"", дом 74",,,,,50:21:0030215:370,,83.8,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, СНТ""Ветеран"", уч. №74",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
663964252,663964252,563348967,POINT(37.6758091313004 55.5596415868327),50:21:0030215:824,Дом,246.9,"Российская Федерация,Московская область,  Ленинский муниципальный район, городское поселение Видное, г.Видное, территория СНТ ""Ветеран"", дом 69",,,,,50:21:0030215:472,Для садоводства,86.2,"обл. Московская, р-н Ленинский, гордское поселение Видное, СНТ ""Ветеран"", уч. №69",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan  9 2020 11:09PM,Администратор,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
849606870,762763231,563348977,POINT(37.6767379834664 55.559820286943),50:21:0030215:785,дом,48,"Российская Федерация, Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, территория СНТ ""Ветеран"", дом 47",,,,,50:21:0030215:132,Для садоводства,520,"Российская Федерация, Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, территория СНТ ""Ветеран"", участок № 47",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Mar 27 2020 10:02AM,Макеева Надежда Михайловна,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
849355210,752760801,563348985,POINT(37.6758270646132 55.5593746173816),50:21:0030210:728,жилое строение (садовый дом),219.2,"Московская область,Ленинский р-н,Видное городское поселение,Ветеран снт,СТ Ветеран снт,Видное г/п,72",,,,,50:21:0030210:82,Для садоводства,720,"обл. Московская, р-н Ленинский, городское поселение Видное, СНТ ""Ветеран"", уч.№72",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Mar 27 2020  9:37AM,Макеева Надежда Михайловна,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
668976590,668976590,563348993,POINT(37.6766505969917 55.5594590928168),50:21:0030215:960,Жилой дом,45.8,"Российская Федерация,  Московская область , Ленинский муниципальный район , сельское поселение Видное, деревня Тарычево, садоводческое некоммерческое товарищество ""Ветеран"", дом 66",,,,,50:21:0030215:177,,44031,"обл. Московская, р-н Ленинский, с/о Горкинский, с/т ""Ветеран"", уч №66",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
851081460,762763211,563349001,POINT(37.6757778697332 55.5591646973275),50:21:0030215:889,Дом,114,"Московская область, Ленинский район, городское поселение Видное, снт Реформа, уч. 22",,,,,50:21:0030215:250,для садоводства,660,"обл. Московская, р-н Ленинский, городское поселение Видное, с/т ""Реформа"", уч. №22",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Mar 27 2020  1:14PM,Макеева Надежда Михайловна,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
850969790,762772031,563349017,POINT(37.6760650231522 55.5588453376233),50:21:0030215:855,жилой дом,130,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, СНТ ""Реформа"", дом 24",,,,,50:21:0030215:763,Для садоводства,548.01,"Московская область, Ленинский муниципальный район, городское поселение Видное,  г Видное, с/т ""Реформа"", уч 24",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Mar 27 2020  1:05PM,Макеева Надежда Михайловна,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
850049220,762764361,563349029,POINT(37.6765043305846 55.5586961216072),50:21:0030215:788,"Жилое строение без права регистрации проживания, расположенное на садовом земельном участке",114,"Московская область, Ленинский район, городское поселение Видное, с.о.Булатниковский, садов.тов.""Реформа"", уч. 38",,,,,50:21:0030215:268,Для садоводства,580,"обл. Московская, р-н Ленинский, городское поселение Видное, с/т ""Реформа"", участок №38",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Mar 27 2020 11:00AM,Макеева Надежда Михайловна,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
850960740,762767681,563349033,POINT(37.6750112206522 55.5585843531936),50:21:0030215:822,дом,111.5,"Московская область,Ленинский р-н,Видное г,городское поселение Видное,с/т ""Реформа"" аал,Реформа снт,4",,,,,50:21:0030215:270,для садоводства,550,"обл. Московская, р-н Ленинский, городское поселение Видное, с/т ""Реформа"", уч. №4",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Mar 27 2020  1:03PM,Макеева Надежда Михайловна,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
719119573,719119573,563349049,POINT(37.6761934756872 55.5581177516138),,,,,"Московская область, Ленинский район, городское поселение Видное, с/т ""Реформа"", участок 28",,,,50:21:0030215:257,Для садоводства,25,"обл. Московская, р-н Ленинский, городское поселение Видное, с/т ""Реформа"", уч.-28",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Feb 22 2020  9:48AM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
719119543,719119543,563349051,POINT(37.6760001500284 55.5580758968858),,,,,"Российская Федерация, Московская область, Ленинский муниципальный район, городское поселение Видное, город Видное, с/т ""Реформа""",,,,50:21:0030215:242,садоводство,44066,"Московская область, Ленинский район,  садоводческое товарищество ""Реформа"", Булатниковская сельская администрация",Ленинский городской округ,,,,,,,,,,,,,,,,Синяя точка,да,да,,,,,,,,,Feb 22 2020  9:48AM,Администратор,6/11/2020,2,Март 2020,Март 2020,,,,,MOBTI\s.pakhomov
850762370,762763891,563349055,POINT(37.6762466497365 55.5580103679329),50:21:0030215:819,баня,43967,"Московская область,Ленинский р-н,Видное г,городское поселение Видное,с/т ""Реформа"" аал,Реформа снт,29",,,,,50:21:0030215:258,садоводство,560,"Московская область,  Ленинский муниципальный район, городское поселение Видное, садоводческое товарищество ""Реформа"", уч. №29",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Mar 27 2020 12:34PM,Макеева Надежда Михайловна,6/11/2020,2,Март 2020,,,да        ,,,MOBTI\s.pakhomov
719115199,719115199,563349057,POINT(37.6757837125584 55.5579536584319),,,,,"Московская область, Ленинский район, городское поселение Видное, г. Видное, СНТ ""Реформа"", уч. 17",,,,50:21:0030215:148,Для садоводства,24,"Московская область, Ленинский район, городское поселение Видное, г. Видное, СНТ ""Реформа"", уч. 17",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Feb 22 2020  9:48AM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
850717630,762769361,563349059,POINT(37.6758724013934 55.5578150978559),50:21:0000000:30845,дом,44052,"Московская область,Ленинский р-н,Видное г,городское поселение Видное,с/т ""Реформа"",Реформа снт,18",,,,,50:21:0030215:505,Для садоводства,600,"обл. Московская, р-н Ленинский, городское поселение Видное, с/т ""Реформа"", уч.-18",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Mar 27 2020 12:28PM,Макеева Надежда Михайловна,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
850633870,762769631,563349061,POINT(37.676604776878 55.5578705620056),50:21:0030215:756,Жилое строение(садовый дом),81.6,"Московская область, Ленинский район,  городское поселение Видное,  с/т ""Реформа"", уч. 30",,,,,50:21:0030215:540,для садоводства,544,"Московская область,  Ленинский муниципальный район,  городское поселение Видное, СНТ ""Реформа"", участок №30",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Mar 27 2020 12:10PM,Макеева Надежда Михайловна,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
850349140,762764681,563349065,POINT(37.676714277481 55.5577485863359),50:21:0030215:802,"Жилое строение без права регистрации проживания, расположенное на садовом земельном участке",148.7,"Московская область, Ленинский район,  городское поселение Видное, СНТ ""Реформа"", д. 31",,,,,50:21:0030215:407,Для садоводства,560,"обл. Московская, р-н Ленинский, с/о Булатниковский, с/т ""Реформа"", уч №31",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Mar 27 2020 11:37AM,Макеева Надежда Михайловна,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
719119678,719119678,563349075,POINT(37.67772562899 55.5576641841506),,,,,"Московская область, Ленинский район, городское поселение Видное, с/т ""Реформа"", участок №60",,,,50:21:0030215:292,садоводство,43972,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, СНТ ""Реформа"", участок № 60",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Feb 22 2020  9:48AM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
850241350,752760211,563349089,POINT(37.6785019467867 55.5571058334884),,,,,"Московская область,Ленинский муниципальный р-н,городское поселение Видное тер,городское поселение Видное,с/т ""Реформа"" тер,70,кв уч.70",,,,50:21:0030215:303,Для садоводства,540,"обл. Московская, р-н Ленинский, городское поселение Видное, с/т ""Реформа"", уч.70",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Mar 27 2020 11:23AM,Макеева Надежда Михайловна,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
668974026,668974026,563349103,POINT(37.6785009036575 55.5576079184462),50:21:0030215:952,Жилой дом,77,"Российская Федерация, Московская область, Ленинский муниципальный район, городское поселение Видное, город Видное, территория Садоводческого некоммерческого товарищества ""Ветеран"", дом 3а",,,,,50:21:0030215:162,,62.9,"обл. Московская, р-н Ленинский, с/о Горкинский, с/т ""Ветеран"", уч №3/1, уч.№3/1",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
